district,mae,smape,r2
Kokrajhar,0.040329695,14.897368848323822,-2.4504575145623977
Davanagere,0.040320877,17.67352670431137,-0.33699797776908436
South Tripura,0.04028853,17.69176572561264,-0.48348980111725504
Buxar,0.040116053,17.406627535820007,-0.7758451603364609
Ambala,0.040099796,16.8842613697052,-0.9472962293815124
Kurukshetra,0.04009883,17.515285313129425,-0.6250211871110669
Solan,0.040070277,18.53744089603424,-0.49084164598233215
Nayagarh,0.04000949,17.439979314804077,-0.729962784876657
West Garo Hills,0.039888646,13.421604037284851,-16.454392479686945
Damoh,0.039704338,18.263456225395203,0.030906787912086675
Banka,0.039660513,20.4182967543602,0.2717141467366291
Koraput,0.039252255,17.538604140281677,-0.16813566734495056
