,district
0,Ariyalur
1,Chennai
2,Coimbatore
3,Cuddalore
4,Dharmapuri
5,Dindigul
6,Erode
7,Kanchipuram
8,Kanyakumari
9,Karur
10,Krishnagiri
11,Madurai
12,Nagapattinam
13,Namakkal
14,Nilgiris
15,Perambalur
16,Pudukkottai
17,Ramanathapuram
18,Salem
19,Sivaganga
20,Thanjavur
21,Theni
22,Thoothukudi
23,Tiruchirappalli
24,Tirunelveli
25,Tiruppur
26,Tiruvannamalai
27,Vellore
28,Villupuram
29,Virudhunagar
