enrol_rank,state,bio_total,avg_age_5_ratio,avg_age_17_ratio,avg_dependency_ratio,avg_bio_growth,avg_bio_volatility,district_count,demo_total,avg_demo_5_ratio,avg_demo_dependency,avg_demo_growth,enrol_total,avg_minor_ratio,avg_adult_ratio,avg_enrol_growth,avg_enrol_volatility
1,Uttar Pradesh,4588782.0,0.6210235670161247,0.3743256456208853,1.9749598834806672,42.36388334308945,148.50720316061265,72,838220.0,0.09711845729766042,0.10809917265318976,7.904354967007283,314383.0,0.9569265669048963,0.04049780138707449,55.815579358099576,131.00269353431236
2,Bihar,2446436.0,0.4765140074951669,0.5189233077837105,0.9611612671287646,3.826002961364263,149.46260369136712,37,34009.0,0.11418898133754635,0.13142502388575958,11.310565478847789,166753.0,0.9485259650035824,0.04906351766415589,33.82152574608694,77.47725857863763
3,Gujarat,1806452.0,0.46156328994452533,0.5316973290662738,0.975917534675818,19.47642333966165,80.89792948759145,33,360340.0,0.12413018544518144,0.14736588452950328,0.4139713441266761,115197.0,0.8751004862134334,0.11904750818392988,44.58278195128352,61.00858789071408
4,Madhya Pradesh,3508900.0,0.5587224539009009,0.4381812374214996,1.4552767112807043,41.44074578836075,233.92283424868018,54,984973.0,0.1804542118796452,0.22648174324753592,0.28918700671900144,109296.0,0.943674908229735,0.0531754852969748,47.0296008876313,97.69337149817471
5,Assam,390248.0,0.5935425972943494,0.39452765606917695,2.0276862961497635,21.658357230800828,76.19356092735839,32,52676.0,0.10227468851322524,0.11472319202476522,20.89270241071661,96458.0,0.8008334301735598,0.19062269056434608,45.835512212655054,43.24240882745373
6,Maharashtra,4041684.0,0.3485411654207602,0.6466751920600396,0.5808214208105827,24.403651529841966,130.63662400975508,35,393650.0,0.11125744686639755,0.12634713042148435,6.08483136523539,85856.0,0.9235264421506103,0.07198038439782273,43.85793418143776,68.01779939653628
7,Meghalaya,48290.0,0.42118956059318075,0.5682130018242222,0.896134350699483,8.789018680565409,47.14484069647764,11,0.0,0.0,0.0,0.0,85362.0,0.6891325947691407,0.30627373870958874,41.43240821467109,147.3646364247267
8,Rajasthan,1767786.0,0.44438528332924165,0.5509099219248168,0.8936014364015875,19.39020931712681,83.39858617619457,33,413723.0,0.11757046837328837,0.13481135779810083,-8.741715473035626,55205.0,0.9523379953797095,0.0444660386243158,22.74664578335509,56.631422354923764
9,West Bengal,1247355.0,0.4046521590223486,0.5851925111572931,0.7528711833413618,41.81311537808635,58.886072788709534,23,349874.0,0.09511406856693881,0.10585388965397509,12.411193289303752,49665.0,0.8722721040656846,0.12056373126750305,26.93252675344349,41.37396475885185
10,Karnataka,1366295.0,0.4818911320786425,0.5080916988093892,1.1131134603789394,18.5382901155982,44.86492919299452,30,336760.0,0.18444545743061783,0.23345185248171568,23.018128838815947,42025.0,0.8360635112096484,0.15816825645349514,39.778399908078924,47.34216513499731
11,Delhi,770434.0,0.4059527179759667,0.5918866473532937,0.7393339349149023,11.047767507315209,647.2364177275604,12,770678.0,0.13623248002514804,0.16151433920617048,-0.34049331271105054,38456.0,0.9193209237625649,0.07639974959441535,51.55514704774745,100.39852037306305
12,Punjab,906293.0,0.3660226152212126,0.6272133578992779,0.6238756571313875,12.725079563245753,83.82089216204612,23,229665.0,0.09245197241631968,0.10324884982149692,8.495980979235474,20773.0,0.8985461834202143,0.09737542480286682,57.187842587169676,92.15912237660288
13,Haryana,820051.0,0.38279718474877156,0.6127294078853865,0.6684580552309562,23.75261366096994,116.6222655927705,22,496925.0,0.131091794686324,0.1524370704023293,1.3324808428440122,20417.0,0.9440932108870286,0.053276244446780065,73.658972086557,166.46113667112942
14,Jharkhand,1067085.0,0.4136478783665429,0.5808122657997835,0.7823975409055862,49.78725542266954,242.5520367682456,24,9672.0,0.09497681417451877,0.10497604939518801,-4.7543401601916395,18263.0,0.9391897003994877,0.056932968401499154,37.406708355927314,37.56122304146877
15,Chhattisgarh,1260926.0,0.22017471145818898,0.7765245167057173,0.29940120451514857,31.892412412621137,269.96765569395245,32,676193.0,0.09754810284949908,0.11019488878214712,49.90879075520824,12001.0,0.8882312544805131,0.10886450796195482,30.118915955815886,60.815245216821445
16,Telangana,740956.0,0.502881568549796,0.4865627248249841,1.2031578257813853,14.285893540474776,38.102133435917345,34,210778.0,0.14538271638596192,0.17151941738239912,23.379121489827817,11642.0,0.9320899571977063,0.06341219904385961,28.58710468724887,38.29738189574223
17,Nagaland,54224.0,0.22261485405731468,0.7703381757139341,0.30203379998851265,4.773800229762815,77.81834226495052,16,0.0,0.0,0.0,0.0,9080.0,0.9221838322355017,0.07352961077841526,-3.469892206712715,55.75375534031412
18,Uttarakhand,279178.0,0.4150156099048038,0.5749510000666164,0.7485745527623978,12.073100059986283,53.48771558628128,13,121860.0,0.11325710300835735,0.12857210805763827,5.116456346094939,4557.0,0.9413979472250656,0.05691760471478169,416.68001731206476,381.87913464061853
19,Tamil Nadu,2048287.0,0.4029826575408757,0.5881976377492969,0.7968734154071675,4.67985543219405,67.14426644924399,38,104505.0,0.11361887240933997,0.12968210367599486,1.4384583425039381,3822.0,0.8828587228340504,0.10782754146546837,0.0,0.0
20,Manipur,130724.0,0.5155855897315422,0.47503385021571465,1.2824542037507398,158.38056279215357,137.87458229873627,11,0.0,0.0,0.0,0.0,3152.0,0.8874958617660562,0.10634565293172017,27.510522283099267,100.49072705645138
21,Andhra Pradesh,1951947.0,0.5704882573614689,0.41982968702034373,2.035645951895905,17.492711445924538,84.92465505984063,37,424494.0,0.1610489914811283,0.19522907766031622,7.889655229260156,2530.0,0.850797441776119,0.1410762976674175,1.1708345664397748,2.784232950922031
22,Mizoram,47700.0,0.5866794578262997,0.4031408948702691,1.863350699392268,-2.03141775762356,402.1239212985814,9,5702.0,0.10949215213674898,0.12855108363044795,-7.897863742973986,2291.0,0.8494965222837891,0.14340418999604598,3.5897424566746237,32.97850599916237
23,Jammu and Kashmir,348696.0,0.4306651985648942,0.5629135529971995,0.9062781632592984,7.046556494239373,78.32280451091198,22,106938.0,0.15983896963450836,0.19897531467111373,-0.09336564341519493,1429.0,0.9321150592068209,0.06258337137416073,0.0,0.0
24,Tripura,140744.0,0.4713152084357732,0.5225627167094081,1.346347548882737,-6.073081699949712,146.94838929568522,8,0.0,0.0,0.0,0.0,1118.0,0.8712053271136653,0.11921449092146287,0.0,0.0
25,Kerala,882312.0,0.4128857359002496,0.5772167649052183,0.7773235002184473,10.712723345292602,29.25390178247913,14,0.0,0.0,0.0,0.0,1040.0,0.7914492872425668,0.1948986340702336,0.0,0.0
26,Odisha,1190473.0,0.4431032246693394,0.5494134682307279,0.8919441536068751,37.91905777377768,88.57311563859037,30,8622.0,0.1359391344390707,0.15896000790979864,55.4096911191363,805.0,0.9215441035021188,0.07271220282788114,0.0,0.0
27,Dadra and Nagar Haveli and Daman and Diu,19064.0,0.437675514240712,0.5507524946558645,0.9959617012736717,81.62091410190517,244.01271371920197,2,1122.0,0.1387900355871886,0.16115702479338842,-6.308411214953269,716.0,0.9569059829059829,0.040025641025641025,43.77510040160642,77.07463914933368
28,Sikkim,12015.0,0.4822775981641634,0.501271199165363,1.1126768336626345,4.034231428872685,36.64247155424931,4,0.0,0.0,0.0,0.0,607.0,0.8818498493606879,0.10878568286108883,0.0,0.0
29,Arunachal Pradesh,32260.0,0.5036818289276372,0.48329148065754135,1.1514378846143047,14.225322059155154,31.505258961177375,22,0.0,0.0,0.0,0.0,484.0,0.8922352523098792,0.1005685856432125,0.0,0.0
30,Chandigarh,52264.0,0.591615605602272,0.4008954521267793,2.379648134568708,125.40343774463322,178.88083993910274,1,46245.0,0.197319257845182,0.2541614803518096,3.0610411459691296,117.0,0.9067796610169492,0.0847457627118644,0.0,0.0
31,Himachal Pradesh,171448.0,0.36934445787675846,0.6167435816743875,0.6418258551158751,5.606509399481985,33.35577299664964,12,7709.0,0.13967806475794883,0.1734287508499939,-0.8205757490515131,114.0,0.7043478260869566,0.28695652173913044,0.0,0.0
32,Goa,32793.0,0.42543941655782724,0.5606540684824505,0.8140894023016194,7.283792732494428,32.12412987191311,2,0.0,0.0,0.0,0.0,42.0,0.7209302325581395,0.2558139534883721,0.0,0.0
33,Andaman and Nicobar Islands,9411.0,0.48083119905157057,0.5051814733378588,1.0783513782026688,18.292713862832006,27.703439573345243,3,438.0,0.09090909090909091,0.1,1.8957345971563955,0.0,0.0,0.0,0.0,0.0
34,Puducherry,26828.0,0.36501414324465237,0.6249272893264617,0.6849828663579747,7.040961272838107,20.938321785023046,2,2465.0,0.1362832357727259,0.15893693263258482,0.0,0.0,0.0,0.0,0.0,0.0
35,Ladakh,2546.0,0.35188190183741686,0.6308110335757833,0.6233300721559577,2.7357869986233565,23.709851441589922,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Lakshadweep,2589.0,0.4103265772419482,0.5752741463744245,0.8255203716929319,16.845796383864467,22.30390329909769,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
