,district
0,Adilabad
1,Agra
2,Ahmadabad
3,Ahmadnagar
4,Aizawl
5,Ajmer
6,Akola
7,Alappuzha
8,Aligarh
9,Alirajpur
10,Almora
11,Alwar
12,Ambala
13,Ambedkar Nagar
14,Amravati
15,Amreli
16,Amritsar
17,Anand
18,Anantnag
19,Anjaw
20,Anugul
21,Anuppur
22,Araria
23,Ariyalur
24,Arwal
25,Ashoknagar
26,Auraiya
27,Aurangabad
28,Azamgarh
29,Bagalkot
30,Bageshwar
31,Baghpat
32,Bahraich
33,Baksa
34,Balaghat
35,Balangir
36,Baleshwar
37,Ballia
38,Balrampur
39,Banas Kantha
40,Banda
41,Banka
42,Bankura
43,Banswara
44,Bara Banki
45,Baramula
46,Baran
47,Barddhaman
48,Bareilly
49,Bargarh
50,Barmer
51,Barnala
52,Barpeta
53,Barwani
54,Bastar
55,Basti
56,Bathinda
57,Begusarai
58,Betul
59,Bhadrak
60,Bhagalpur
61,Bhandara
62,Bharatpur
63,Bharuch
64,Bhavnagar
65,Bhilwara
66,Bhind
67,Bhiwani
68,Bhojpur
69,Bhopal
70,Bidar
71,Bijapur
72,Bijnor
73,Bikaner
74,Bilaspur
75,Birbhum
76,Bishnupur
77,Bokaro
78,Bongaigaon
79,Budaun
80,Bulandshahr
81,Buldana
82,Bundi
83,Burhanpur
84,Buxar
85,Cachar
86,Central
87,Chamba
88,Chamoli
89,Champawat
90,Champhai
91,Chamrajnagar
92,Chandauli
93,Chandel
94,Chandigarh
95,Chandrapur
96,Changlang
97,Chatra
98,Chennai
99,Chhatarpur
100,Chhindwara
101,Chikkaballapura
102,Chikmagalur
103,Chirang
104,Chitradurga
105,Chitrakoot
106,Chittaurgarh
107,Chittoor
108,Churachandpur
109,Churu
110,Coimbatore
111,Cuddalore
112,Cuttack
113,Dadra & Nagar Haveli
114,Dakshin Bastar Dantewada
115,Dakshina Kannada
116,Damoh
117,Darbhanga
118,Darrang
119,Datia
120,Dausa
121,Davanagere
122,Debagarh
123,Dehradun
124,Deoghar
125,Deoria
126,Dewas
127,Dhalai
128,Dhamtari
129,Dhanbad
130,Dhar
131,Dharmapuri
132,Dharwad
133,Dhemaji
134,Dhenkanal
135,Dhubri
136,Dhule
137,Dibang Valley
138,Dibrugarh
139,Dima Hasao
140,Dimapur
141,Dindigul
142,Dindori
143,Diu
144,Doda
145,Dumka
146,Dungarpur
147,Durg
148,East
149,East Garo Hills
150,East Godavari
151,East Kameng
152,East Khasi Hills
153,East Siang
154,Ernakulam
155,Erode
156,Etah
157,Etawah
158,Faridabad
159,Faridkot
160,Farrukhabad
161,Fatehabad
162,Fatehgarh Sahib
163,Fatehpur
164,Firozabad
165,Gadag
166,Gajapati
167,Ganderbal
168,Gandhinagar
169,Ganganagar
170,Ganjam
171,Garhchiroli
172,Garhwa
173,Gautam Buddha Nagar
174,Gaya
175,Ghaziabad
176,Ghazipur
177,Giridih
178,Goalpara
179,Godda
180,Golaghat
181,Gonda
182,Gondiya
183,Gopalganj
184,Gorakhpur
185,Gumla
186,Guna
