,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
enrol_total,0.49658352,0.3053673,-0.17695817,-0.07816038,-0.5584184,3.4246094,0.23996441
age_0_5,0.3823968,0.16068456,-0.18751404,-0.07831102,-0.70885366,3.0340981,0.26769388
age_5_17,0.5815629,0.33227974,-0.13034058,-0.046139013,-0.30376956,3.3736851,0.16703734
age_18_greater,0.080102265,0.73328674,-0.095140964,-0.13982475,-0.06390409,1.3034923,0.08710398
enrol_minor_ratio,0.007956854,0.007520834,1.3828464,-0.18884091,-0.02003721,0.054242775,1.4688938
enrol_adult_ratio,-0.0037515159,-0.00593421,-0.5128147,-2.445235,0.0035247025,-0.0068655405,0.34250006
